SEQPLT18	YEAR	PSTATABB	PNAME	ORISPL	UTLSRVNM	LAT	LON	PLPRMFL	PLFUELCT	PLNGENAN	PLCO2AN	PLCO2EQA	PLC2ERTA	PLCO2CRT	UNCO2	BIOCO2	CHPCO2	PLGENACL	PLGENAOL	PLGENAGS	PLGENANC	PLGENAHY	PLGENABM	PLGENAWI	PLGENASO	PLGENAGT	PLGENAOF	PLGENAOP	PLGENATN	PLGENATR	PLGENATH
4062	2018	KY	Kentucky Dam	1377	Tennessee Valley Authority	37.0131	-88.2692	WAT	HYDRO	1098259								0	0	0	0	1098259	0	0	0	0	0	0	0	1098259	0
4063	2018	KY	Kentucky Mills	55429	Domtar Paper Company LLC	37.8948	-86.6854	BLQ	BIOMASS	345265	6062	8148	47	35	1583722	1536500	41160	0	0	18403	0	0	326862	0	0	0	0	0	18403	326862	326862
4064	2018	KY	KY No. 11 L&D Hydroelectric Project	62390	Rye Development	37.784171	-84.102977	WAT	HYDRO																						
4065	2018	KY	Laurel Dam	6171	USCE-Nashville District	36.9614	-84.27	WAT	HYDRO	102762								0	0	0	0	102762	0	0	0	0	0	0	0	102762	0
4066	2018	KY	Laurel Ridge LFGTE	56279	East Kentucky Power Coop, Inc	37.035	-84.0933	LFG	BIOMASS	23001	0	0	0	0	17304	17304		0	0	0	0	0	23001	0	0	0	0	0	0	23001	23001
4067	2018	KY	L'Oreal Solar - Florence	61744	L'Oreal USA Products Inc	38.987696	-84.608172	SUN	SOLAR	1557								0	0	0	0	0	0	0	1557	0	0	0	0	1557	1557
4068	2018	KY	Marshall County	55232	Tennessee Valley Authority	37.0286	-88.3958	NG	GAS	321338	221909	222138	1383	1381	221909			0	1560	319778	0	0	0	0	0	0	0	0	321338	0	0
4069	2018	KY	Mason County LFGTE	56977	East Kentucky Power Coop, Inc	38.5858	-83.7242	LFG	BIOMASS																						
4070	2018	KY	Meldahl Hydroelectric Project	56872	City of Hamilton - (OH)	38.791431	-84.172982	WAT	HYDRO	428511								0	0	0	0	428511	0	0	0	0	0	0	0	428511	0
4071	2018	KY	Mill Creek	1364	Louisville Gas & Electric Co	38.0525	-85.9103	BIT	COAL	8639800	9253662	9329322	2160	2142	9253662			8607616	0	32184	0	0	0	0	0	0	0	0	8639800	0	0
4072	2018	KY	Morehead Generating Facility	62641	North American Biofuels, LLC	38.191	-83.544	LFG	BIOMASS																						
4073	2018	KY	Mother Ann Lee	1359	Lock 7 Hydro Partners LLC	37.8297	-84.7247	WAT	HYDRO	10526								0	0	0	0	10526	0	0	0	0	0	0	0	10526	0
4074	2018	KY	Ohio Falls	1365	Louisville Gas & Electric Co	38.2832	-85.7792	WAT	HYDRO	190876								0	0	0	0	190876	0	0	0	0	0	0	0	190876	0
4075	2018	KY	Paddy's Run	1366	Louisville Gas & Electric Co	38.223592	-85.841704	NG	GAS	80162	56245	56303	1405	1403	56245			0	0	80162	0	0	0	0	0	0	0	0	80162	0	0
4076	2018	KY	Paducah Power Systems Plant 1	56556	Paducah Power System	37.03385	-88.615862	NG	GAS	43932	29479	29509	1343	1342	29479			0	0	43932	0	0	0	0	0	0	0	0	43932	0	0
4077	2018	KY	Paradise	1378	Tennessee Valley Authority	37.2608	-86.9783	BIT	COAL	9702462	7185637	7219606	1488	1481	7185637			3822911	-105	5879656	0	0	0	0	0	0	0	0	9702462	0	0
4078	2018	KY	Paris (KY)	1376	City of Paris - (KY)	38.2049	-84.2383	DFO	OIL	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4079	2018	KY	Pendleton County LFGTE	56327	East Kentucky Power Coop, Inc	38.734218	-84.405901	LFG	BIOMASS	13507	0	0	0	0	11621	11621		0	0	0	0	0	13507	0	0	0	0	0	0	13507	13507
4080	2018	KY	Pineville	1360	Kentucky Utilities Co	36.796667	-83.761388	BIT	COAL																						
4081	2018	KY	R D Green	6639	Big Rivers Electric Corp	37.6461	-87.5	BIT	COAL	3059098	3605891	3633916	2376	2357	3605891			3048332	10766	0	0	0	0	0	0	0	0	0	3059098	0	0
4082	2018	KY	Ravenna Hydroelectric Project	62747	Lock 12 Hydro Partners, LLC	37.677484	-83.948553	WAT	HYDRO																						
4083	2018	KY	Riverside Generating Company	55198	Riverside Generating Co LLC	38.191661	-82.604586	NG	GAS	694617	455245	455741	1312	1311	455245			0	0	694617	0	0	0	0	0	0	0	0	694617	0	0
