U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2017					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2017	1	ME	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	11,797
2017	1	ME	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	575
2017	1	ME	Combined Heat and Power, Electric Power	Coal (Short Tons)	1,613
2017	1	ME	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	786
2017	1	ME	Combined Heat and Power, Electric Power	Petroleum (Barrels)	931
2017	1	ME	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,400,522
2017	1	ME	Electric Generators, Independent Power Producers	Petroleum (Barrels)	23,457
2017	1	ME	Electric Generators, Electric Utilities	Petroleum (Barrels)	4
2017	1	MI	Total Electric Power Industry	Coal (Short Tons)	2,184,321
2017	1	MI	Total Electric Power Industry	Natural Gas (Mcf)	15,042,621
2017	1	MI	Total Electric Power Industry	Other Gases (Billion Btu)	841
2017	1	MI	Total Electric Power Industry	Petroleum (Barrels)	244,503
2017	1	MI	Combined Heat and Power, Industrial Power	Coal (Short Tons)	958
2017	1	MI	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	550,080
2017	1	MI	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	19,048
2017	1	MI	Combined Heat and Power, Commercial Power	Coal (Short Tons)	0
2017	1	MI	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	246,241
2017	1	MI	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	203
2017	1	MI	Combined Heat and Power, Electric Power	Coal (Short Tons)	19,607
2017	1	MI	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	5,411,324
2017	1	MI	Combined Heat and Power, Electric Power	Other Gases (Billion Btu)	691
2017	1	MI	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	MI	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2017	1	MI	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	3,372,754
2017	1	MI	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2017	1	MI	Electric Generators, Electric Utilities	Coal (Short Tons)	2,163,756
2017	1	MI	Electric Generators, Electric Utilities	Natural Gas (Mcf)	5,462,222
2017	1	MI	Electric Generators, Electric Utilities	Other Gases (Billion Btu)	151
2017	1	MI	Electric Generators, Electric Utilities	Petroleum (Barrels)	225,252
2017	1	MN	Total Electric Power Industry	Coal (Short Tons)	1,422,659
2017	1	MN	Total Electric Power Industry	Natural Gas (Mcf)	4,818,988
2017	1	MN	Total Electric Power Industry	Petroleum (Barrels)	7,368
2017	1	MN	Combined Heat and Power, Industrial Power	Coal (Short Tons)	34,622
2017	1	MN	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	61,781
